Source,Target,Weight
101,410,1
101,522,1
101,596,1
101,693,1
101,733,1
102,139,1
102,343,1
102,446,1
102,508,1
102,570,1
102,576,1
102,882,1
102,929,1
102,956,1
103,133,1
103,183,1
103,248,1
103,312,1
103,415,1
103,468,1
103,734,1
104,109,1
104,558,1
104,896,1
104,897,1
105,161,1
105,336,1
105,535,1
105,688,1
105,769,1
105,792,1
106,116,1
106,148,1
106,162,1
106,184,1
106,210,1
106,226,1
106,257,1
106,393,1
106,881,1
107,225,1
107,267,1
107,336,1
107,338,1
107,343,1
107,440,1
107,839,1
108,156,1
108,308,1
108,407,1
108,549,1
108,767,1
108,868,1
109,142,1
109,208,1
109,492,1
109,540,1
109,791,1
109,826,1
110,155,1
110,182,1
110,205,1
110,368,1
110,392,1
110,424,1
110,486,1
111,173,1
111,317,1
111,406,1
111,409,1
111,420,1
111,611,1
111,841,1
112,126,1
112,167,1
112,249,1
112,256,1
112,314,1
112,384,1
112,493,1
112,584,1
112,856,1
112,905,1
112,992,1
113,146,1
113,382,1
113,572,1
114,202,1
114,207,1
114,253,1
114,445,1
114,488,1
114,725,1
114,729,1
114,751,1
115,180,1
115,198,1
115,339,1
115,544,1
115,561,1
115,584,1
115,612,1
115,811,1
116,135,1
116,190,1
116,203,1
116,222,1
116,287,1
116,501,1
116,852,1
116,998,1
117,145,1
117,211,1
117,228,1
117,240,1
117,341,1
117,470,1
117,695,1
117,704,1
118,128,1
118,182,1
118,205,1
118,358,1
118,628,1
118,701,1
118,779,1
118,892,1
118,925,1
119,339,1
119,738,1
119,739,1
119,922,1
120,136,1
120,179,1
120,305,1
120,309,1
120,423,1
120,499,1
120,565,1
120,635,1
120,647,1
121,131,1
121,282,1
121,337,1
121,499,1
121,569,1
121,643,1
121,708,1
121,844,1
122,145,1
122,265,1
122,300,1
122,496,1
122,557,1
122,848,1
122,873,1
123,170,1
123,268,1
123,383,1
123,401,1
123,490,1
123,503,1
123,598,1
123,657,1
123,813,1
124,141,1
124,157,1
124,382,1
124,394,1
124,439,1
124,709,1
125,195,1
125,237,1
125,264,1
125,371,1
125,394,1
125,766,1
125,776,1
125,860,1
126,211,1
126,365,1
126,452,1
126,769,1
127,131,1
127,230,1
127,273,1
127,309,1
127,399,1
127,510,1
127,541,1
128,216,1
128,338,1
128,576,1
128,976,1
128,981,1
129,176,1
129,189,1
129,285,1
129,310,1
129,316,1
129,425,1
129,471,1
129,661,1
